biomarker_handle,name,short_description,category
testosterone,Testosterone,"Testosterone is a hormone that causes male characteristics. For men, it helps to regulate sex drive and has a role in controlling bone mass, fat distribution, muscle mass, strength and the production of red blood cells and sperm. Testosterone is produced in the testicles of men and, in much smaller amounts, in the ovaries of women. Testosterone levels in men naturally decline after the age of 30, although lower than normal levels can occur at any age and can cause low libido, erectile dysfunction, difficulty in gaining and maintaining muscle mass and lack of energy. Although women have much lower amounts of testosterone than men, it is important for much the same reasons, playing a role in libido, the distribution of muscle and fat and the formation of red blood cells. All laboratories will slightly differ in the reference ranges they apply because they are based on the population they are testing. The normal range is set so that 95% of men will fall into it. For greater consistency, we use the guidance from the British Society for Sexual Medicine (BSSM) which advises that low testosterone can be diagnosed when testosterone is consistently below the reference range, and that levels below 12 nmol/L could also be considered low, especially in men who also report symptoms of low testosterone or who have low levels of free testosterone.",Hormones
free-testosterone-calc,Free Testosterone - Calc.,"Most testosterone circulating in the blood is bound to proteins, in particular SHBG and albumin; only 2-3 % of testosterone is free and available to cells. This test uses an algorithm to calculate the level of free or unbound testosterone in relation to total testosterone, SHBG and albumin.",Hormones
fsh,FSH,"Follicle Stimulating Hormone (FSH) is produced in the pituitary gland and is important for women in the production of eggs by the ovaries and for men for men in the production of sperm. 

In the first half of the menstrual cycle in women, FSH stimulates the enlargement of follicles within the ovaries. Each of these follicles will help to increase oestradiol levels. One follicle will become dominant and will be released by the ovary (ovulation), after which follicle stimulating hormone levels drop during the second half of the menstrual cycle.

In men, FSH acts on the seminiferous tubules of the testicles where they stimulate immature sperm cells to develop into mature sperm.",Hormones
lh,LH,"Luteinising Hormone (LH) is produced by the pituitary gland and is important for male and female fertility. In women it governs the menstrual cycle, peaking before ovulation. In men it stimulates the production of testosterone.",Hormones
prolactin,Prolactin,"Prolactin is a hormone which is produced in the pituitary gland and plays a role in reproductive health. Its primary purpose is to stimulate milk production after childbirth, and in pregnant and breastfeeding women prolactin levels can soar.",Hormones
free-androgen-index,Free Androgen Index,"The free androgen index (FAI) is a calculation used to determine the amount of testosterone which is free (unbound) in the bloodstream. Most testosterone is bound to proteins sex hormone binding globulin and albumin and is not available to interact with the body's cells. The FAI is a calculation based on the ratio of testosterone and SHBG and is a measure of the amount of testosterone that is available to act on the body's tissues. 

The free androgen index is used in women to assess the likelihood of polycystic ovarian syndrome. In men, free testosterone gives a better indication of testosterone status.",Hormones
androstenedione,Androstenedione,"Androstenedione is a steroid hormone that occurs naturally in the body, responsible for male characteristics. Androstenedione is a metabolite of DHEA and is a direct precursor to the male hormone testosterone.",Hormones
dihydrotestosterone,Dihydrotestosterone,"Dihydrotestosterone is made from testosterone in several areas of the body (prostate, hair follicles, liver, brain, and parts of the testicles). It has a more powerful effect within the body than testosterone. Dihydrotestosterone is responsible for triggering the growth of facial hair, and higher levels are associated with male pattern baldness.",Hormones
oestrone,Oestrone,NA,Hormones
growth-hormone,Growth Hormone,"Growth hormone (hGH), or somatotropin, is a hormone responsible for normal body growth and development. Growth hormone also plays a role in regulating muscle mass, bone density and lipid metabolism.",Hormones
leptin,Leptin,NA,Hormones
pregnenolone,Pregnenolone,"Pregnenolone is a chemical that is a precursor to all steroid hormones in the body. For normal steroid hormone production, cholesterol is converted into pregnenolone in the adrenal glands and then several enzymes complete the production of multiple hormones. A Pregnenolone test helps to monitor and/or rule out two of the more rare forms of congenital adrenal hyperplasia (CAH).",Hormones
beta-hcg,Beta HCG,HCG is a pregnancy hormone produced by the placenta when a fertilised egg implants in the uterine wall. The hormone hCG starts to be produced around six days after fertilisation and can usually be detected 10 days after a missed menstrual period.,Hormones
testosterone-cortisol,Testosterone : Cortisol,"The Testosterone/Cortisol (T:C) ratio is a marker which shows promise in assessing whether athletes are recovering well after intense training. Testosterone is an anabolic hormone which helps to build muscle, produce red blood cells and increase aerobic metabolism in muscles. Cortisol is a catabolic hormone working antagonistically with testosterone, inhibiting protein synthesis and blocking anabolic signalling. The T:C ratio is more sensitive to the stresses of training than either measure alone. Over time it can be trended to see how well you are recovering.",Hormones
estriol,Estriol,NA,Hormones
intact-pth,Intact PTH,"Parathyroid hormone (PTH) is important in controlling blood calcium levels. When calcium levels are low, the parathyroid gland releases PTH into the bloodstream. PTH is able to retrieve calcium from bone, stimulate vitamin D activation in the kidneys and suppress calcium excretion in the urine.",Hormones
free-t3,Free T3,"Triiodothyronine (T3) is the more active of the two thyroid hormones produced by the thyroid gland. Most T3 is bound to protein in the blood. Free T3 measures the level of T3 that is free, or unbound to protein, and is available to regulate metabolism.",Thyroid Hormones
free-thyroxine,Free Thyroxine,"Thyroxine (T4) is one of two hormones produced by the thyroid gland. It works to speed up the rate of your metabolism. Most T4 is bound to carrier proteins in the blood, but it is only the free, or unbound T4 that is active in the body, which is measured in this test.",Thyroid Hormones
tsh,TSH,"The thyroid is a gland at the base of your neck responsible for a number of metabolic processes, including energy expenditure, cardiac function, muscle physiology and substrate turnover. Disturbances in your thyroid function can lead to excess hormone levels (overactive) or diminished levels (underactive), both of which can lead to a decrease in athletic performance.

Thyroid Stimulating Hormone (TSH) is produced by the pituitary gland and stimulates the thyroid gland to produce the two thyroid hormones thyroxine (T4) and triiodothyronine (T3).

Thyroid hormone production is part of a neuroendocrine cascade. It starts in the hypothalamus with the release of thyrotropin releasing hormone (TRH), which triggers the pituitary gland to produce thyroid stimulating hormone (TSH). This binds to cells in the thyroid gland to release the hormones T3 and T4 (thyroxine). T4 is also converted into T3 (the more active thyroid hormone) at peripheral tissues. It is these hormones which essentially control the metabolism around your body. All these levels are normally held in tight balance through negative feedback loops. 

Abnormal thyroid function can manifest by over-secretion or under-secreting the thyroid hormones. Very often there is an autoimmune component to these conditions and we can often see this by looking at your thyroid antibodies in more advanced thyroid tests.",Thyroid Hormones
hba1c,HbA1c,"Haemoglobin A1c (HbA1c), also known as glycated haemoglobin, is a longer term measure of glucose levels in your blood than a simple blood glucose test. Glucose attaches itself to the haemoglobin in your red blood cells, and as your cells live for around 12-16 weeks, it gives us a good indication of the average level of sugar in your blood over a 3 month period.",Diabetes
insulin,Insulin,"Insulin is an important metabolic hormone. Made in your pancreas, insulin is produced after eating in order to move the sugar from your blood into your cells for future energy use. If we eat too much, especially sugar and starchy foods, our bodies are flooded with insulin and over time our cells become resistant to the effects of insulin, leaving high levels of sugar and insulin in the bloodstream.",Diabetes
insulin-fasting,Insulin - Fasting,NA,Diabetes
fasting-insulin-resistance-index,Fasting Insulin Resistance Index,NA,Diabetes
fructosamine,Fructosamine,"Fructosamine is a marker of sugar control in the body reflecting the average sugar level in the blood over the previous 2–3 weeks. It is the best way for people with haemoglobin problems to check how well their body has been controlling their glucose levels over the past few weeks. This is because conditions such as sickle cell anaemia and thalassaemia can cause a lower than expected HbA1c result.

When glucose levels are raised in the blood over a period of time, glucose molecules permanently combine with proteins in the blood. These combined molecules remain for the life of the protein and provide a record of the average amount of glucose present in the blood over that time period.

The fructosamine test reflects the average glucose levels over a 2 to 3 week time period as serum proteins have a lifespan, of around 14 to 21 days.",Diabetes
glucose,Glucose ,"This test looks for the presence of glucose in your urine. Glucose is a type of sugar and the body's main source of energy. The hormone insulin helps to move glucose from the blood into the body’s cells. If there is too much glucose in the blood, the extra glucose is eliminated through the urine. 

A urine glucose test is useful in determining if blood glucose levels are too high, which may be a sign of diabetes.",Diabetes
glucose-random,Glucose - Random,"The random blood glucose test measures the level of sugar in your blood and is an indicator of how well your body is metabolising sugars to store in your cells. It is most useful when analysed in conjunction with other sugar markers, such as HbA1c.",Diabetes
anti-achr-antibodies,Anti-AChR Antibodies,"Anti-AchR antibodies, or Acetylcholine Receptor Autoantibodies are proteins which target and attack certain receptors in the body. This significantly and progressively reduces the number of nerve impulses which can be transmitted between the brain and muscles.",Autoimmunity
adrenal-antibodies,Adrenal Antibodies,NA,Autoimmunity
mitochondrial-antibodies,Mitochondrial Antibodies,NA,Autoimmunity
antinuclear-antibodies,Antinuclear Antibodies,"Antinuclear antibodies are produced by the immune system when it fails to distinguish between its own cells and foreign invaders such as bacteria and viruses. Antinuclear antibodies attack proteins inside the body's own healthy cells and cause symptoms such as inflammation, joint pain and fatigue.",Autoimmunity
anca,ANCA,"Antineutrophil cytoplasmic antibodies (ANCA) are autoantibodies that target antigens found in neutrophils, a specialised type of white blood cell. ANCAs cause neutrophils to attack small blood vessels, leading to the blood vessels becoming swollen and inflamed.",Autoimmunity
smooth-muscle-antibodies,Smooth Muscle Antibodies,NA,Autoimmunity
lkm-antibodies,LKM Antibodies,NA,Autoimmunity
gastric-parietal-cell-antibodies,Gastric Parietal Cell Antibodies,"Parietal cell antibodies are autoantibodies, produced by the immune system that mistakenly target and destroy parietal cells, specialised cells in the stomach that aid digestion and make intrinsic factor. Intrinsic factor is required for the absorption of vitamin B12 from food. The progressive loss of parietal cells may lead to a vitamin B12 deficiency. 

Gastric parietal cells antibodies are associated with autoimmune gastritis and pernicious anaemia. This test helps to find out more about the cause of a vitamin B12 deficiency.",Autoimmunity
thyroid-peroxidase-antibodies,Thyroid Peroxidase Antibodies,Thyroid peroxidase (TPO) is an enzyme important in the production of thyroid hormones. This test looks for antibodies against TPO which are often raised in cases of autoimmune thyroid conditions and occasionally in healthy individuals.,Autoimmunity
anti-cen-p-antibodies,Anti CEN-P Antibodies,NA,Autoimmunity
anti-jo1-antibodies,Anti Jo1 Antibodies,NA,Autoimmunity
anti-la-ss-b-antibodies,Anti La SS-B Antibodies,NA,Autoimmunity
anti-u1rnp-antibodies,Anti U1RNP Antibodies,NA,Autoimmunity
anti-ro-ss-a-antibodies,Anti Ro SS-A Antibodies,NA,Autoimmunity
anti-scl-70-antibodies,Anti Scl 70 Antibodies,NA,Autoimmunity
anti-sm-antibodies,Anti Sm Antibodies,NA,Autoimmunity
ovarian-antibodies,Ovarian Antibodies,NA,Autoimmunity
histoplasmosis-antibodies,Histoplasmosis Antibodies,NA,Autoimmunity
intrinsic-factor-antibodies,Intrinsic Factor Antibodies,"Intrinsic factor is produced in the stomach and helps extract vitamin B12 from the foods we eat. Interference in its production or activity can reduce the absorption of vitamin B12. Intrinsic factor antibodies are produced by the immune system. Intrinsic factor is necessary to extract vitamin B12 from the food we eat. Without sufficient intrinsic factor available, vitamin B12 is unabsorbed and the body cannot produce enough red blood cells which leads to the autoimmune condition pernicious anaemia.",Autoimmunity
thyroglobulin-antibodies,Thyroglobulin Antibodies,"This test looks for antibodies to thyroglobulin, a protein which is specific to the thyroid gland. Under normal circumstances it does not enter the bloodstream, but if your thyroid is inflamed or under attack from the body's own immune system, then thyroglobulin can be secreted and antibodies detected.

Most cases of thyroid disease are caused by an autoimmune condition where the thyroid gland is attacked by the body's own immune system. This can cause the thyroid gland to produce more thyroid hormone (as in the case of Graves' disease) or to produce less as the cells in the thyroid gland are gradually destroyed (as in the case of Hashimoto's thyroiditis).",Autoimmunity
meningococcal-antibodies,Meningococcal Antibodies,NA,Autoimmunity
striated-muscle-antibodies,Striated Muscle Antibodies,NA,Autoimmunity
musk-antibodies,MuSK Antibodies,"Anti-MuSK antibodies, or anti-muscle specific kinase antibodies are proteins produced against particular receptors in the body. These receptors are called muscle specific kinase, and are involved in transmitting signals between the brain and muscles, allowing us to move.",Autoimmunity
pneumococcal-antibodies,Pneumococcal Antibodies,NA,Autoimmunity
rheumatoid-factor-turbidimetry,Rheumatoid Factor Turbidimetry,NA,Autoimmunity
strongyloides-antibodies,Strongyloides Antibodies,NA,Autoimmunity
tsh-receptor-antibodies,TSH Receptor Antibodies,"TSH receptor antibodies cause Graves' disease hyperthyroidism. Graves’ disease is caused by the direct stimulation of the thyroid cells by TSH receptor stimulating antibodies. All forms of autoimmune thyrotoxicosis (Graves’ disease, Hashitoxicosis, neonatal thyrotoxicosis) are caused by the production of TSH receptor antibodies. These antibodies stimulate the thyroid gland independent of the normal regulated TSH stimulation.",Autoimmunity
salivary-antibodies,Salivary Antibodies,NA,Autoimmunity
extractable-nuclear-antigen,Extractable Nuclear Antigen,"An extractable nuclear antigen (ENA) screen looks for the presence of one or more autoantibodies in the blood that react with proteins in the cell nucleus. 

Autoantibodies are produced when the immune system mistakenly targets and attacks the body's own tissues which can cause inflammation, tissue damage and symptoms associated with an autoimmune disorder.

The results of an ENA screen can help to detect and distinguish between different autoimmune disorders.",Autoimmunity
antistreptolysin-titre,Antistreptolysin Titre,NA,Autoimmunity
nt-pro-bnp,NT Pro BNP,NA,Heart Health
homocysteine,Homocysteine,"Homocysteine is an amino acid used by the body to make protein and to build and maintain tissue. Homocysteine is a product of methionine metabolism and in healthy cells, is quickly converted to other products.",Heart Health
vitamin-e-alpha-tocopherol,Vitamin E - Alpha Tocopherol,"Vitamin E is an antioxidant important in protecting body tissue from damage caused by unstable substances called free radicals, which are produced by cigarette smoke, sunlight, pollution and chemical reactions in the body. Vitamin E is also important in the formation of red blood cells, keeping the immune system healthy and helps the body to use vitamin K.",Vitamins
folate-red-cell,Folate - Red Cell,Folate is a B vitamin which acts as a coenzyme in the metabolism of amino acids. It is also vital for the synthesis of purines and pyrimidines which are essential for DNA synthesis and red cell formation. Folate is also especially important during the first trimester of pregnancy so if you are thinking of becoming pregnant it is important to make sure your folate levels are normal. Red Cell Folate is a measure of the body's store of the vitamin folate.,Vitamins
vitamin-a,Vitamin A,"Vitamin A (retinol) is a fat-soluble vitamin found in animal products such as eggs, dairy, liver and kidneys. It is important for the normal reproduction of cells (cellular differentiation) as well as good vision and the proper development of an embryo and foetus.",Vitamins
vitamin-b6,Vitamin B6,"The B vitamins are a group of 8 all water-soluble vitamins, all crucial for cell metabolism, converting food into energy, the normal functioning of the central nervous system and the formation of red blood cells.",Vitamins
vitamin-b2,Vitamin B2,"The B vitamins are a group of 8 all water-soluble vitamins, all crucial for cell metabolism, converting food into energy, the normal functioning of the central nervous system and the formation of red blood cells.",Vitamins
vitamin-b1,Vitamin B1,"The B vitamins are a group of 8 all water-soluble vitamins, all crucial for cell metabolism, converting food into energy, the normal functioning of the central nervous system and the formation of red blood cells. 

Thiamine (B1) is a water-soluble vitamin required to form adenosine triphosphate which all cells in the body need.",Vitamins
beta-carotene,Beta-Carotene,"Beta-carotene is a fat-soluble carotenoid found in plants, and is what gives carrots their orange colour. Your body converts beta-carotene into vitamin A (retinol) and is a safe source of vitamin A because your body only converts as much as it needs. Excess vitamin A can be toxic. Vitamin A is important for the normal reproduction of cells (cellular differentiation) as well as good vision and the proper development of an embryo and fetus. Beta-carotene is also an antioxidant so protects the body from damaging free radicals. Sources of beta-carotene include carrots, tomatoes, spinach, lettuce, sweet potatoes, squash and broccoli.",Vitamins
vitamin-b5,Vitamin B5,"The B vitamins are a group of 8 all water-soluble vitamins, all crucial for cell metabolism, converting food into energy, the normal functioning of the central nervous system and the formation of red blood cells.",Vitamins
vitamin-b3,Vitamin B3,"The B vitamins are a group of 8 all water-soluble vitamins, all crucial for cell metabolism, converting food into energy, the normal functioning of the central nervous system and the formation of red blood cells.",Vitamins
vitamin-c,Vitamin C,"Vitamin C is a water soluble vitamin found in many fruits and vegetables including oranges, peppers, strawberries, blackcurrants, tomatoes and potatoes. 

Vitamin C is crucial for growth and repair of tissues, healing wounds, healthy bones and teeth and assisting the body with collagen production and iron absorption. It is also an antioxidant so fights off damaging free radicals.",Vitamins
biotin,Biotin,"Biotin, or vitamin H, is an important compound found in the blood. It is crucial for helping the liver, eyes and nervous system to function properly. It also has a role in keeping hair and nails healthy.",Vitamins
vitamin-k1-and-k2,Vitamin K1 and K2,NA,Vitamins
vitamin-b12-active,Vitamin B12 - Active,"Vitamin B12 is important for production of red blood cells which carry oxygen around the body. B12 is also involved in metabolism and the nervous system and prolonged lack of vitamin B12 may cause nerve damage. Although Vitamin B12 is almost entirely found in animal-based foods, many vegetarian and vegan products, especially plant milks are now fortified with Vitamin B12.",Vitamins
folate-serum,Folate - Serum,"Folate is a B vitamin which acts as a coenzyme in the metabolism of amino acids. It is also vital for the synthesis of purines and pyrimidines which are essential for DNA synthesis and red cell formation. Folate is also especially important during the first trimester of pregnancy so if you are thinking of becoming pregnant it is important to make sure your folate levels are normal. 

For the athlete this vitamin (along with other B vitamins, such as vitamin B12) play an important role in performance by regulating energy metabolism by modulating the synthesis and breakdown of carbohydrate, fat, protein and other bioactive compounds.",Vitamins
vitamin-d,Vitamin D,"Vitamin D is vital for bone maintenance in conjunction with calcium. It also plays important roles in muscle function and protein synthesis. More recent research has highlighted other non-musculoskeletal benefits too, including immune modulation, protection against chronic diseases and increased athletic performance. It is essential for athletes to keep vitamin D levels healthy. 

Your skin can make vitamin D when it is exposed to sunlight. However, in the UK this is difficult, especially in winter.  It is very common for people living in the UK to be low in vitamin D, even if they exercise outside.",Vitamins
